Process;Type;Product;Amount;Unit;Photochemical oxidation (kg C2H4 eq);Eutrophication (kg PO4--- eq);Fresh water aquatic ecotox. (kg 1,4-DB eq);Terrestrial ecotoxicity (kg 1,4-DB eq);Human toxicity (kg 1,4-DB eq);Acidification (kg SO2 eq);Ozone layer depletion (ODP) (kg CFC-11 eq);Abiotic depletion (fossil fuels) (MJ);Abiotic depletion (kg Sb eq);Marine aquatic ecotoxicity (kg 1,4-DB eq);Global warming (GWP100a) (kg CO2 eq)
Polyacrylonitrile fibres (PAN), production mix, at plant, from acrylonitrile and methacrylate, PAN without additives - EU-27;LCI result;polyacrylonitrile fibres (PAN);1.0;kg;0.0013508912429605435;0.002683845130514246;0.010393433136571307;0.0011623262336025529;0.14226747677463622;0.020230135302809194;3.198379813852541e-07;47.8346460439693;7.60356140291215e-07;496.05630211665584;5.718488965197844
Polystyrene expandable granulate (EPS), production mix, at plant - RER;LCI result;polystyrene expandable granulate (EPS);1.0;kg;0.0008104313926114001;0.001099055128073;0.003990223856499372;0.0006645270562176942;0.23276728851986292;0.011180380818816;0.0;44.1484448172649;3.162952859186328e-07;117.16236272677833;3.47591432635095
Acrylonitrile-Butadiene-Styrene granulate (ABS), production mix, at plant - RER;LCI result;acrylonitrile-butadiene-styrene granulate (ABS);1.0;kg;0.0008675922928984401;0.0015790679377660002;0.002511578188218845;0.00031988682037588107;0.11234334043336072;0.012314219420000003;0.0;41.206909410596005;1.329020545043374e-06;127.52747172997962;3.8848825890354703
Polyethylene high density granulate (PE-HD), production mix, at plant - RER;LCI result;polyethylene high density granulate (PE-HD);1.0;kg;0.0007080613906020142;0.00042809686301561507;0.0006456864999317055;6.750726307540168e-05;0.010014931292661492;0.0065068016465232;0.0;38.1498242050397;2.1473744304046145e-08;73.77607503844185;1.9643818232099748
Polystyrene (general purpose) granulate (GPPS), production mix, at plant, crystal form is pure polystyrene with few additives, used when clarity is required even though it is very   brittle - RER;LCI result;polystyrene (general purpose) granulate (GPPS);1.0;kg;0.00089413340820296;0.0007255344087550001;0.009008768327963587;0.0003906445370091095;0.16006480730332676;0.011443568453632;0.0;43.052819445649;3.828504030335574e-07;91.59164006183552;3.5641340650544797
Polyvinylchloride resin (E-PVC), production mix, at plant, emulsion polymerisation - RER;LCI result;polyvinylchloride resin (E-PVC);1.0;kg;0.0008724235628280013;0.0009757296650970215;0.013059858861477477;0.011730318024170976;9.445075046552;0.0154208421;0.0;21.5221599691859;5.264941045732184e-07;223.9296919118574;3.3179551333168176
High impact polystyrene granulate (HIPS), production mix, at plant - RER;LCI result;high impact polystyrene granulate (HIPS);1.0;kg;0.0008840967921600399;0.0007676869838929999;0.010626224324714547;0.0005098798600822342;0.18847356226563752;0.012203903843647999;0.0;43.8043073837217;3.698624050599747e-07;111.28634797780023;3.54390027712927
Nylon 66 granulate (PA 66), production mix, at plant - RER;LCI result;nylon 66 granulate (PA 66);1.0;kg;0.0017370253615824319;0.010548814446;0.04991149944136976;0.0004866294019175442;0.144056502609058;0.029243986500000003;0.0;38.8483781417152;2.79931495140697e-06;405.8561983169929;8.116106917477467
Polyethylene terephthalate (PET) granulate, production mix, at plant, bottle grade - RER;LCI result;polyethylene terephthalate (PET) granulate;1.0;kg;0.001019755413390708;0.0009637114672949352;0.004464650662371076;0.0008290875326450002;0.2649830455046612;0.016078597770832;0.0;31.4891038596755;2.106915070027358e-08;272.78569186680437;3.4524543330357735
Polyethylene low density granulate (PE-LD), production mix, at plant - RER;LCI result;polyethylene low density granulate (PE-LD);1.0;kg;0.0005208992014548471;0.0005013766217990801;0.0010196242602050877;9.899156335678469e-05;0.013064952850544832;0.0079291540354336;0.0;35.3525906470464;2.0753973897437045e-07;105.06353440767303;2.1440590766617182
Polyethylene low linear density granulate (PE-LLD), production mix, at plant - RER;LCI result;polyethylene low linear density granulate (PE-LLD);1.0;kg;0.00040331769720286677;0.0003935859780894224;0.0003670653834449108;4.0888029706205485e-05;0.008644703262867294;0.005705624582281601;0.0;35.76991141774171;1.1425105937834402e-07;53.703633958789084;1.8811342800988438
Polymethyl methacrylate (PMMA) beads, production mix, at plant - RER;LCI result;polymethyl methacrylate (PMMA) beads;1.0;kg;0.0021746339372141197;0.0069611456844974;0.0014544411860744635;0.00068682260734592;0.11059264312651813;0.040840270224000004;0.0;48.6936080283379;8.298010283453011e-06;286.4183713184893;7.19175107313696
Polyvinylchloride resin (B-PVC), production mix, at plant, bulk polymerisation - RER;LCI result;polyvinylchloride resin (B-PVC);1.0;kg;0.00036605922398976105;0.0005305671451618916;0.007175673557377275;0.00211446439195611;5.97249585237424;0.005284411174464;0.0;19.0936829672451;5.240977703794307e-07;79.90873774556005;1.6247286793928661
Nylon 6 granulate (PA 6), production mix, at plant - RER;LCI result;nylon 6 granulate (PA 6);1.0;kg;0.001873004243134403;0.007361855592;0.020532293100169713;0.0007271976602383563;0.1867457674638385;0.0295011976;0.0;36.0396240677417;6.511592745469875e-05;247.12311897039572;9.054542202757641
Polybutadiene granulate (PB), production mix, at plant - RER;LCI result;polybutadiene granulate (PB);1.0;kg;0.0010528786511737325;0.0010153256943580815;0.00023679697755777575;2.0771743599613262e-05;0.02699286972934792;0.0199376412514448;0.0;50.852391997967;2.1636646106991422e-08;215.98852322429588;3.9346199572947573
Nylon 6 glass filled (PA 6 GF), production mix, at plant - RER;LCI result;nylon 6 glas filled (PA 6 GF);1.0;kg;0.001700345261872522;0.005257137105;0.026237137324334185;0.00044172320396528074;0.12341210664439344;0.02804660924;0.0;26.6989769666357;1.640851313273321e-05;316.2642395844587;7.259964179412931
Polyamide 6.6 fibres (PA 6.6), production mix, at plant, from adipic acid and hexamethylene diamine (HMDA), PA 6.6 granulate without additives - EU-27;LCI result;polyamide 6.6 fibres (PA 6.6);1.0;kg;0.0023466037429890605;0.004408193392654117;0.01510892743017833;0.0022610551235277047;0.2503792264097936;0.03754226119704526;6.259118563693579e-07;94.9632749471831;1.2554188760683007e-06;1013.1197892203794;11.096906090279877
Polycarbonate granulate (PC), production mix, at plant - RER;LCI result;polycarbonate granulate (PC);1.0;kg;0.0017002463120498002;0.0029004955034784004;0.02358547933935665;0.026950245739814294;0.10041631162852163;0.0248017541376;0.0;21.666974538;1.3583191677170176e-06;304.4471011898627;7.93742023581055
Polyethylene terephthalate fibres (PET), production mix, at plant, via dimethyl terephthalate (DMT), PET granulate without additives - EU-27;LCI result;polyethylene terephthalate fibres (PET);1.0;kg;0.0011476182142230729;0.0011213097368866776;0.006928702447348088;0.001496185977976576;0.1569670372435872;0.018139415338574372;4.1177889205994167e-07;46.0045111481356;4.186729715689907e-07;738.1620629267468;4.488512424743246
Polypropylene fibres (PP), production mix, at plant, crude oil based, PP granulate without additives - EU-27;LCI result;polypropylene fibres (PP);1.0;kg;0.0006719393688827202;0.0006431175548575877;0.007669896178368633;0.0006907957979702677;0.07879294153309725;0.009069160066397772;1.6679753966207214e-07;37.9734102868773;3.5634167391561134e-07;324.12033964758564;2.3585994486670154
Polyethylene terephthalate (PET) granulate, production mix, at plant, amorphous - RER;LCI result;polyethylene terephthalate (PET) granulate;1.0;kg;0.0009991150634242041;0.000994299702599268;0.004434513680170878;0.0008205658477944952;0.26265134658378503;0.015758693260352;0.0;31.0331258565696;2.100810681475887e-08;260.7090297659258;3.3254394219344654
Nylon 66 GF 30 compound (PA 66 GF 30), production mix, at plant - RER;LCI result;nylon 66 GF 30 compound (PA 66 GF 30);1.0;kg;0.00144796939998272;0.004691259241;0.059101839846875934;0.0003856305807910842;0.11403426091617319;0.025262966039999998;0.0;29.3101700718411;2.8660751006638823e-06;402.8811578489542;7.07889545232646
Polypropylene granulate (PP), production mix, at plant - RER;LCI result;polypropylene granulate (PP);1.0;kg;0.0005124322710628334;0.0009834781170111285;0.0005018395812271751;5.113081541976913e-05;0.009106460353536974;0.006184605353078402;0.0;42.840525468986904;4.163826195007476e-08;60.81360412324746;2.0013173311361334
Polyvinylchloride resin (S-PVC), production mix, at plant, suspension polymerisation - RER;LCI result;polyvinylchloride resin (S-PVC);1.0;kg;0.0007262191917312171;0.0011076394894213458;0.006300008550197838;0.00899334220198684;0.5986061210306074;0.01158316568;0.0;20.2770341329605;3.1078470660431243e-07;149.81724191526504;2.7783252494275428
